Provincia,Localidad,Nombre,Dirección,Horario,Ubicacion
Buenos Aires,25 de Mayo,25 de Mayo,Calle 10 Nº 1145,08.30 a 14.30hs,Ver en mapa
Buenos Aires,9 de Julio,9 de Julio,Libertad 1102,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Alberti,Alberti,10 de junio 167,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Alejandro Korn,Alejandro Korn,Av. Presidente Juan Domingo Perón 4550,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Ameghino,Ameghino,Sarmiento 414 (Calle 5) e/ 32 y34,08.30 a 14.30hs,Ver en mapa
Buenos Aires,América,América,"Sarmiento 359, PB",08.00 a 14.00hs,Ver en mapa
Buenos Aires,Arrecifes,Arrecifes,Av. Merlassino 141,08:00 a 14:00hs,Ver en mapa
Buenos Aires,Ascensión,Ascensión,Libertad 12,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Avellaneda,Avellaneda,French 58,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Ayacucho,Ayacucho,Güemes 664,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Azul,Azul,Av. Pte. Perón 425,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Bahía Blanca,Bahía Blanca,Brown 180,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Bahía Blanca,Bahía Blanca II,Av. Colón 279,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Balcarce,Balcarce,Calle 16 y 17,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Banfield,Lomas de Zamora,Hipólito Yrigoyen 7550,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Baradero,Baradero,Anchorena 1127,08:00 a 14:00hs,Ver en mapa
Buenos Aires,Batán,Batán,Colectora Ruta 88 y Calle 149,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Benito Juárez,Benito Juárez,Santana Zabalza 93 / 97,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Berazategui,Berazategui,Calle 148 Nº 750 e/ 7 y 8,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Berisso,Berisso,"Montevideo y Nueva York, edificio 110 (Polígono Industrial)",08.30 a 14.30hs,Ver en mapa
Buenos Aires,Bernal,Bernal,Av. Dardo Rocha 501,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Bolívar,Bolívar,Alvear 150,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Bosques,Bosques (Florencio Varela II),Av. Luján 1071,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Bragado,Bragado,Av. Rivadavia 975,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Brandsen,Coronel Brandsen,Av. Mitre 265,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Burzaco,Burzaco,Av. Hipólito Yrigoyen 14926/30,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Campana,Campana,Mitre 1265,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Cañuelas,Cañuelas,Del Carmen 690,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Capitán Sarmiento,Capitán Sarmiento,San Martín 137,08:00 a 14:00hs,Ver en mapa
Buenos Aires,Carhué,Carhué,Pellegrini 966,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Carlos Casares,Carlos Casares,Avenida 9 de Julio 504 esquina Córdoba,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Carlos Tejedor,Carlos Tejedor,Piransola 130,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Carmen de Areco,Carmen de Areco,M. Moreno 541,08:00 a 14:00hs,Ver en mapa
Buenos Aires,Carmen de Patagones,Carmen de Patagones,Garibaldi 311,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Casbas,Casbas,San Martin 216,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Castelli,Castelli,25 de Mayo y Rivadavia,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Chacabuco,Chacabuco,Sarmiento 95 y Cervantes,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Chascomús,Chascomús,Av. Lastra 264,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Chivilcoy,Chivilcoy,Av. Villarino 99 esquina Balcarce,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Ciudad Evita,Ciudad Evita,Guaicurú 1193,8:30 a 14:30 hs,Ver en mapa
Buenos Aires,Colón,Colón,Calle 48 N° 900 y Calle 19,08:00 a 14:00hs,Ver en mapa
Buenos Aires,Coronel Dorrego,Coronel Dorrego,Av. Santagada 914,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Coronel Pringles,Coronel Pringles,Belgrano Nº 604,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Coronel Suárez,Coronel Suárez,Rivadavia 53,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Coronel Vidal,Coronel Vidal,Gral. Paz 534,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Daireaux,Daireaux,Pellegrini 530,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Darregueira,Darregueira,25 de Mayo 58,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Derqui,Presidente Derqui,Sarmiento 1174,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Dock Sud,Dock Sud,Ingeniero Huergo Luis A. 1374,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Dolores,Dolores,Manuel Rico 47,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Dolores,Tordillo,Juan Manuel de Rosas 137 (Edificio Intendencia),08.30 a 14.30hs,Ver en mapa
Buenos Aires,Ensenada,Ensenada,La Merced 183,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Escobar,Escobar,Av. Eugenia Tapia de Cruz 1139,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Escobar,Garin,"Boulevard Presidente Perón 225, Escobar",08.30 a 14.30hs,Ver en mapa
Buenos Aires,Exaltación de La Cruz,Exaltación de La Cruz,Mateo Casco 666,08:00 a 14:00hs,Ver en mapa
Buenos Aires,Ezeiza,Ezeiza,Esteban Echeverría 62,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Ezpeleta,Ezpeleta,Av. Francia 1450 (esquina Kenny),08.30 a 14.30hs,Ver en mapa
Buenos Aires,Florencio Varela,Florencio Varela,Av. San Martín 3380,08.30 a 14.30hs,Ver en mapa
Buenos Aires,General Alvear,General Alvear,Sarmiento y Perón,08.30 a 14.30hs,Ver en mapa
Buenos Aires,General Belgrano,General Belgrano,Guido 498,08.30 a 14.30hs,Ver en mapa
Buenos Aires,General Daniel Cerri,General Daniel Cerri,Gutiérrez 379,08.00 a 14.00hs,Ver en mapa
Buenos Aires,General Guido,General Guido,Anselmo Cepeda 150,08.30 a 14.30hs,Ver en mapa
Buenos Aires,General Lamadrid,General Lamadrid,San Martín 666,08.00 a 14.00hs,Ver en mapa
Buenos Aires,General Lavalle,General Lavalle,Arturo de La Serna 1192,08.30 a 14.30hs,Ver en mapa
Buenos Aires,General Madariaga,General Madariaga,Martínez Guerrero 1850,08.30 a 14.30hs,Ver en mapa
Buenos Aires,General Pacheco,Tigre,H. Yrigoyen 576,08.00 a 14.00hs,Ver en mapa
Buenos Aires,General Pinto,General Pinto,Alsina 464,08.30 a 14.30hs,Ver en mapa
Buenos Aires,General Rodríguez,General Rodriguez,Almirante Brown 52,08.30 a 14.30hs,Ver en mapa
Buenos Aires,General Villegas,General Villegas,Rivadavia 907 esquina Pueyrredón,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Gonnet,City Bell,Av. Camino Centenario 2493,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Gonzales Chaves,Gonzalez Chaves,Juan Elicagaray 353,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Grand Bourg,Malvinas Argentinas,Seguí 1702 y Luis Vernet,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Henderson,Henderson,Colón 716,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Hurlingham,Hurlingham,Av. Pedro Díaz 999,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Ingeniero White,Ingeniero White,Belgrano 3741,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Ituzaingó,Ituzaingó,Zufriategui 758,08.30 a 14.30hs,Ver en mapa
Buenos Aires,José C. Paz,José C. Paz,Presidente Perón 5098,08.30 a 14.30hs,Ver en mapa
